(0x0008,0x0001); UL; Length to End; LengthToEnd; 1; RET
(0x0008,0x0005); CS; Specific Character; SpecificCharacterSet; 1-; 
(0x0008,0x0006); SQ; Language Code; LanguageCodeSequence; 1; 
(0x0008,0x0008); CS; Image Type; ImageType; 2-; 
(0x0008,0x0010); SH; Recognition Code; RecognitionCode; 1; RET
(0x0008,0x0012); DA; Instance Creation; InstanceCreationDate; 1; 
(0x0008,0x0013); TM; Instance Creation; InstanceCreationTime; 1; 
(0x0008,0x0014); UI; Instance Creator; InstanceCreatorUID; 1; 
(0x0008,0x0016); UI; SOP Class UID; SOPClassUID; 1; 
(0x0008,0x0018); UI; SOP Instance UID; SOPInstanceUID; 1; 
(0x0008,0x001A); UI; Related General SOP; RelatedGeneralSOPClassUID; 1-; 
(0x0008,0x001B); UI; Specialized SOP; OriginalSpecializedSOPClassUID; 1; 
(0x0008,0x0020); DA; Study Date; StudyDate; 1; 
(0x0008,0x0021); DA; Series Date; SeriesDate; 1; 
(0x0008,0x0022); DA; Acquisition Date; AcquisitionDate; 1; 
(0x0008,0x0023); DA; Content Date; ContentDate; 1; 
(0x0008,0x0024); DA; Overlay Date; OverlayDate; 1; RET
(0x0008,0x0025); DA; Curve Date; CurveDate; 1; RET
(0x0008,0x002A); DT; Acquisition; AcquisitionDateTime; 1; 
(0x0008,0x0030); TM; Study Time; StudyTime; 1; 
(0x0008,0x0031); TM; Series Time; SeriesTime; 1; 
(0x0008,0x0032); TM; Acquisition Time; AcquisitionTime; 1; 
(0x0008,0x0033); TM; Content Time; ContentTime; 1; 
(0x0008,0x0034); TM; Overlay Time; OverlayTime; 1; RET
(0x0008,0x0035); TM; Curve Time; CurveTime; 1; RET
(0x0008,0x0040); US; Data Set Type; DataSetType; 1; RET
(0x0008,0x0041); LO; Data Set Subtype; DataSetSubtype; 1; RET
(0x0008,0x0042); CS; Nuclear Medicine; NuclearMedicineSeriesType; 1; RET
(0x0008,0x0050); SH; Accession Number; AccessionNumber; 1; 
(0x0008,0x0051); SQ; Issuer of Accession; IssuerOfAccessionNumberSequence; 1; 
(0x0008,0x0052); CS; Query/Retrieve; QueryRetrieveLevel; 1; 
(0x0008,0x0054); AE; Retrieve AE Title; RetrieveAETitle; 1-; 
(0x0008,0x0056); CS; Instance; InstanceAvailability; 1; 
(0x0008,0x0058); UI; Failed SOP Instance; FailedSOPInstanceUIDList; 1-; 
(0x0008,0x0060); CS; Modality; Modality; 1; 
(0x0008,0x0061); CS; Modalities in Study; ModalitiesInStudy; 1-; 
(0x0008,0x0062); UI; SOP Classes in; SOPClassesInStudy; 1-; 
(0x0008,0x0064); CS; Conversion Type; ConversionType; 1; 
(0x0008,0x0068); CS; Presentation Intent; PresentationIntentType; 1; 
(0x0008,0x0070); LO; Manufacturer; Manufacturer; 1; 
(0x0008,0x0080); LO; Institution Name; InstitutionName; 1; 
(0x0008,0x0081); ST; Institution Address; InstitutionAddress; 1; 
(0x0008,0x0082); SQ; Institution Code; InstitutionCodeSequence; 1; 
(0x0008,0x0090); PN; Referring; ReferringPhysicianName; 1; 
(0x0008,0x0092); ST; Physicians; ReferringPhysicianAddress; 1; 
(0x0008,0x0094); SH; Physicians; ReferringPhysicianTelephoneNumbers; n; 
(0x0008,0x0096); SQ; Identification; ReferringPhysicianIdentificationSequence; 1; 
(0x0008,0x0100); SH; Code Value; CodeValue; 1; 
(0x0008,0x0102); SH; Coding Scheme; CodingSchemeDesignator; 1; 
(0x0008,0x0103); SH; Coding Scheme; CodingSchemeVersion; 1; 
(0x0008,0x0104); LO; Code Meaning; CodeMeaning; 1; 
(0x0008,0x0105); CS; Mapping Resource; MappingResource; 1; 
(0x0008,0x0106); DT; Context Group; ContextGroupVersion; 1; 
(0x0008,0x0107); DT; Context Group Local; ContextGroupLocalVersion; 1; 
(0x0008,0x010B); CS; Context Group; ContextGroupExtensionFlag; 1; 
(0x0008,0x010C); UI; Coding Scheme UID; CodingSchemeUID; 1; 
(0x0008,0x010D); UI; Extension Creator; ContextGroupExtensionCreatorUID; 1; 
(0x0008,0x010F); CS; Context Identifier; ContextIdentifier; 1; 
(0x0008,0x0110); SQ; Identification; CodingSchemeIdentificationSequence; 1; 
(0x0008,0x0112); LO; Coding Scheme; CodingSchemeRegistry; 1; 
(0x0008,0x0114); ST; Coding Scheme; CodingSchemeExternalID; 1; 
(0x0008,0x0115); ST; Coding Scheme Name; CodingSchemeName; 1; 
(0x0008,0x0116); ST; Responsible; CodingSchemeResponsibleOrganization; 1; 
(0x0008,0x0117); UI; Context UID; ContextUID; 1; 
(0x0008,0x0201); SH; Timezone Offset; TimezoneOffsetFromUTC; 1; 
(0x0008,0x1000); AE; Network ID; NetworkID; 1; RET
(0x0008,0x1010); SH; Station Name; StationName; 1; 
(0x0008,0x1030); LO; Study Description; StudyDescription; 1; 
(0x0008,0x1032); SQ; Procedure Code; ProcedureCodeSequence; 1; 
(0x0008,0x103E); LO; Series Description; SeriesDescription; 1; 
(0x0008,0x103F); SQ; Series Description; SeriesDescriptionCodeSequence; 1; 
(0x0008,0x1040); LO; Institutional; InstitutionalDepartmentName; 1; 
(0x0008,0x1048); PN; Physician(s) of; PhysiciansOfRecord; 1-; 
(0x0008,0x1049); SQ; Record; PhysiciansOfRecordIdentificationSequence; 1; 
(0x0008,0x1050); PN; Performing; PerformingPhysicianName; 1-; 
(0x0008,0x1052); SQ; Physician; PerformingPhysicianIdentificationSequence; 1; 
(0x0008,0x1060); PN; Name of Physician; NameOfPhysiciansReadingStudy; 1-; 
(0x0008,0x1062); SQ; Reading Study; PhysiciansReadingStudyIdentificationSequence; 1; 
(0x0008,0x1070); PN; Operators Name; OperatorsName; 1-; 
(0x0008,0x1072); SQ; Identification; OperatorIdentificationSequence; 1; 
(0x0008,0x1080); LO; Admitting Diagnoses; AdmittingDiagnosesDescription; 1-; 
(0x0008,0x1084); SQ; Admitting Diagnoses; AdmittingDiagnosesCodeSequence; 1; 
(0x0008,0x1090); LO; Manufacturers; ManufacturerModelName; 1; 
(0x0008,0x1100); SQ; Referenced Results; ReferencedResultsSequence; 1; RET
(0x0008,0x1110); SQ; Referenced Study; ReferencedStudySequence; 1; 
(0x0008,0x1111); SQ; Performed Procedure; ReferencedPerformedProcedureStepSequence; 1; 
(0x0008,0x1115); SQ; Referenced Series; ReferencedSeriesSequence; 1; 
(0x0008,0x1120); SQ; Referenced Patient; ReferencedPatientSequence; 1; 
(0x0008,0x1125); SQ; Referenced Visit; ReferencedVisitSequence; 1; 
(0x0008,0x1130); SQ; Referenced Overlay; ReferencedOverlaySequence; 1; RET
(0x0008,0x1134); SQ; Stereometric; ReferencedStereometricInstanceSequence; 1; 
(0x0008,0x113A); SQ; Referenced Waveform; ReferencedWaveformSequence; 1; 
(0x0008,0x1140); SQ; Referenced Image; ReferencedImageSequence; 1; 
(0x0008,0x1145); SQ; Referenced Curve; ReferencedCurveSequence; 1; RET
(0x0008,0x114A); SQ; Referenced Instance; ReferencedInstanceSequence; 1; 
(0x0008,0x114B); SQ; World Value Mapping; ReferencedRealWorldValueMappingInstanceSequence; 1; 
(0x0008,0x1150); UI; Referenced SOP; ReferencedSOPClassUID; 1; 
(0x0008,0x1155); UI; Referenced SOP; ReferencedSOPInstanceUID; 1; 
(0x0008,0x115A); UI; SOP Classes; SOPClassesSupported; 1-; 
(0x0008,0x1160); IS; Referenced Frame; ReferencedFrameNumber; 1-; 
(0x0008,0x1161); UL; Simple Frame List; SimpleFrameList; 1-; 
(0x0008,0x1162); UL; Calculated Frame; CalculatedFrameList; 3-; 
(0x0008,0x1163); FD; Time Range; TimeRange; 2; 
(0x0008,0x1164); SQ; Frame Extraction; FrameExtractionSequence; 1; 
(0x0008,0x1167); UI; Multi-Frame Source; MultiFrameSourceSOPInstanceUID; 1; 
(0x0008,0x1195); UI; Transaction UID; TransactionUID; 1; 
(0x0008,0x1197); US; Failure Reason; FailureReason; 1; 
(0x0008,0x1198); SQ; Failed SOP Sequence; FailedSOPSequence; 1; 
(0x0008,0x1199); SQ; Referenced SOP; ReferencedSOPSequence; 1; 
(0x0008,0x1200); SQ; Other Referenced; StudiesContainingOtherReferencedInstancesSequence; 1; 
(0x0008,0x1250); SQ; Related Series; RelatedSeriesSequence; 1; 
(0x0008,0x2110); CS; Compression; LossyImageCompressionRetired; 1; RET
(0x0008,0x2111); ST; Derivation; DerivationDescription; 1; 
(0x0008,0x2112); SQ; Source Image; SourceImageSequence; 1; 
(0x0008,0x2120); SH; Stage Name; StageName; 1; 
(0x0008,0x2122); IS; Stage Number; StageNumber; 1; 
